
timestamp,Fruges Wind Speed [100 m],Fruges Wind Direction [100 m]
20190118T2000,7.392564,149.96672
20190118T2100,7.9611554,147.30801
20190118T2200,8.405355,145.1755
20190118T2300,8.514693,146.49657
20190119T0000,8.453402,152.52556
20190119T0100,8.417244,156.17574
20190119T0200,8.407735,153.13019
20190119T0300,8.508819,150.42216
20190119T0400,8.5440035,147.42593
20190119T0500,8.268011,147.8477
20190119T0600,8.249242,149.39359
20190119T0700,8.46286,144.61972
20190119T0800,8.440379,143.67317
20190119T0900,8.700575,142.47156
20190119T1000,9.104943,141.24191
20190119T1100,8.621485,142.06673
20190119T1200,9.440339,143.61565
20190119T1300,7.1028166,144.74364
20190119T1400,6.4404964,143.84181
20190119T1500,6.296825,136.93059
20190119T1600,6.325346,129.22568
20190119T1700,6.6030297,125.13419
20190119T1800,6.6850576,124.640945
20190119T1900,6.521503,125.63981
20190119T2000,6.268173,123.94359
20190119T2100,6.1587334,122.39984
20190119T2200,5.916925,120.465546
20190119T2300,5.635601,117.474434
20190120T0000,5.5542774,113.33404
20190120T0100,5.5542774,113.33404
20190120T0200,5.1662364,104.57421
20190120T0300,5.0159745,94.57392
20190120T0400,5.308484,93.23969
20190120T0500,5.0159745,94.57392
20190120T0600,4.6,89.99999
20190120T0700,4.1593266,80.31121
20190120T0800,4.3863425,65.772255
20190120T0900,4.614109,60.101105
20190120T1000,4.750789,59.656746
20190120T1100,4.4777226,60.57254
20190120T1200,3.7443287,55.885513
20190120T1300,3.3015149,54.86579
20190120T1400,3.3241541,46.218872
20190120T1500,3.482815,39.173645
20190120T1600,3.6619666,34.99202
20190120T1700,3.8948684,29.19748
20190120T1800,4.8764744,28.141602
20190120T1900,5.4708314,30.78415
20190120T2000,5.5803227,36.25383
20190120T2100,5.456189,41.2847
20190120T2200,5.3037724,45.763885
20190120T2300,5.2009616,52.028397
20190121T0000,5.1971145,59.981636
20190121T0100,5.011986,61.38954
20190121T0200,4.8600416,53.365883
20190121T0300,4.8795495,45.830307
20190121T0400,4.9819674,51.51979
20190121T0500,4.9406476,54.05787
20190121T0600,4.7169905,57.994614
20190121T0700,4.3863425,65.772255
20190121T0800,3.8078866,66.8014
20190121T0900,3.275668,58.736267
20190121T1000,2.9154758,59.036232
20190121T1100,2.4351592,70.820984
20190121T1200,1.4560219,105.9454
20190121T1300,0.7,180.0
20190121T1400,1.0,216.8699
20190121T1500,1.421267,219.28941
20190121T1600,1.7492856,210.96376
20190121T1700,2.5238857,213.69006
20190121T1800,3.5846896,210.14139
20190121T1900,4.604346,214.38034
20190121T2000,5.5973206,221.37852
20190121T2100,5.920304,217.45058
20190121T2200,6.26099,206.56505
20190121T2300,6.76757,198.97041
20190122T0000,7.0213957,197.40271
20190122T0100,7.648529,191.30994
20190122T0200,8.386298,188.22673
20190122T0300,8.895505,188.40337
20190122T0400,9.542536,185.41187
20190122T0500,10.14002,185.09212
20190122T0600,10.667708,186.45882
20190122T0700,11.047624,189.37706
20190122T0800,11.042192,192.02228
20190122T0900,10.911004,199.26526
20190122T1000,10.107918,205.80453
20190122T1100,8.628441,212.21655
20190122T1200,6.268173,236.05641
20190122T1300,4.8332186,245.55606
20190122T1400,4.304649,239.26453
20190122T1500,3.6069376,223.87671
20190122T1600,4.4407206,215.83765
20190122T1700,5.1312766,213.07068
20190122T1800,6.2361846,195.8192
20190122T1900,7.9075913,189.46233
20190122T2000,8.417244,189.57423
20190122T2100,7.8339005,194.03624
20190122T2200,6.7720013,196.29405
20190122T2300,6.2128897,183.69139
20190123T0000,7.300685,179.21518
20190123T0100,6.419502,175.53284
20190123T0200,4.8270073,193.17256
20190123T0300,3.4014702,245.69547
20190123T0400,3.7696154,291.8014
20190123T0500,4.6690474,316.73572
20190123T0600,5.360038,323.3439
20190123T0700,5.6435804,330.25513
20190123T0800,5.7384667,337.45694
20190123T0900,6.139218,347.7749
20190123T1000,6.4031243,1.7899017
20190123T1100,6.8963757,16.858398
20190123T1200,7.5166483,33.055817
20190123T1300,6.847627,28.810776
20190123T1400,7.648529,25.559967
20190123T1500,7.4094534,21.370605
20190123T1600,7.116881,19.707962
20190123T1700,7.02282,19.983109
20190123T1800,5.6859474,23.860168
20190123T1900,5.147815,29.05458
20190123T2000,4.632494,32.660904
20190123T2100,4.1773195,42.089157
20190123T2200,3.764306,50.389297
20190123T2300,3.1906114,57.80426
20190124T0000,1.3341664,77.00538
20190124T0100,0.5,89.99999
20190124T0200,0.42426407,315.0
20190124T0300,1.2806249,308.65982
20190124T0400,2.5495098,311.8202
20190124T0500,2.1400933,322.59467
20190124T0600,2.7018511,321.00903
20190124T0700,3.1827662,316.273
20190124T0800,3.6124785,318.36646
20190124T0900,3.6878178,319.3987
20190124T1000,3.2526913,315.0
20190124T1100,3.1241,309.80557
20190124T1200,2.3706539,297.64597
20190124T1300,2.0024984,267.1376
20190124T1400,3.0594118,258.69006
20190124T1500,4.204759,267.27368
20190124T1600,4.501111,268.727
20190124T1700,3.622154,263.65982
20190124T1800,3.0805843,234.24612
20190124T1900,3.5608988,218.15723
20190124T2000,4.237924,199.29004
20190124T2100,4.570558,190.0806
20190124T2200,4.5177426,185.0796
20190124T2300,3.8470767,188.97263
20190125T0000,2.9732137,227.72632
20190125T0100,1.811077,263.65982
20190125T0200,1.8601075,306.25385
20190125T0300,2.6000001,337.38013
20190125T0400,2.1213202,351.8699
20190125T0500,1.3038404,4.398697
20190125T0600,1.104536,354.8056
20190125T0700,0.92195445,319.3987
20190125T0800,1.1401755,254.74487
20190125T0900,2.4041631,225.0
20190125T1000,3.623534,219.40067
20190125T1100,4.5177426,207.69948
20190125T1200,5.4120235,207.51201
20190125T1300,6.191123,211.12247
20190125T1400,7.6609397,215.97238
20190125T1500,7.7233415,221.3255
20190125T1600,8.261961,231.88173
20190125T1700,8.149233,240.60394
20190125T1800,7.937884,250.88028
20190125T1900,7.9762144,262.0731
20190125T2000,8.205485,267.90475
20190125T2100,8.100618,270.70734
20190125T2200,7.7162166,273.7153
20190125T2300,7.244308,276.34018
20190126T0000,7.2,270.0
20190126T0100,7.025667,265.10092
20190126T0200,7.368175,262.19983
20190126T0300,7.752419,263.33334
20190126T0400,7.930952,264.9364
20190126T0500,8.229823,265.12073
20190126T0600,8.321658,265.86533
20190126T0700,8.429115,265.23636
20190126T0800,8.28734,261.67435
20190126T0900,8.220098,260.1939
20190126T1000,8.125269,256.47684
20190126T1100,8.19329,250.0169
20190126T1200,8.319255,244.359
20190126T1300,10.022475,245.22487
20190126T1400,11.646888,246.73682
20190126T1500,12.210241,244.27438
20190126T1600,11.4284725,235.33655
20190126T1700,11.280515,229.67416
20190126T1800,11.317244,223.5679
20190126T1900,11.497827,220.06079
20190126T2000,11.844408,220.54883
20190126T2100,12.073938,219.62329
20190126T2200,12.381034,216.12946
20190126T2300,13.0667515,215.02794
20190127T0000,12.740487,222.4552
20190127T0100,12.8144455,222.15338
20190127T0200,13.011534,224.37724
20190127T0300,13.840881,229.98242
20190127T0400,13.868309,231.14664
20190127T0500,13.500001,233.1301
20190127T0600,12.700394,232.67897
20190127T0700,11.715375,230.19443
20190127T0800,11.229425,230.7824
20190127T0900,9.353609,241.24289
20190127T1000,7.300685,269.21518
20190127T1100,9.121404,307.875
20190127T1200,13.75936,327.46494
20190127T1300,11.788554,327.11877
20190127T1400,10.111875,314.59937
20190127T1500,10.962208,305.71997
20190127T1600,10.6,301.8908
20190127T1700,11.7477665,300.71283
20190127T1800,11.317685,297.92358
20190127T1900,11.941943,297.42337
20190127T2000,11.727319,294.16092
20190127T2100,12.348279,294.90475
20190127T2200,12.907749,292.7906
20190127T2300,12.747157,289.7143
20190128T0000,11.827087,288.74133
20190128T0100,12.404031,286.38956
20190128T0200,12.624183,286.56885
20190128T0300,12.554281,288.57928
20190128T0400,12.293087,291.97452
20190128T0500,11.851161,296.56506
20190128T0600,11.576268,301.2184
20190128T0700,11.207141,304.8245
20190128T0800,10.920164,307.1847
20190128T0900,10.499524,310.36456
20190128T1000,9.831073,313.7636
20190128T1100,8.909546,315.0
20190128T1200,10.568822,327.3625
20190128T1300,9.98599,327.26477
